Link,Review Number,Rating
https://www.tripadvisor.com/Restaurant_Review-g294265-d10453273-Reviews-Beast_Butterflies-Singapore.html,578,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d794020-Reviews-Hua_Ting_Restaurant-Singapore.html,430,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d5421216-Reviews-Fill_a_Pita-Singapore.html,221,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d17171783-Reviews-Fu_Lin_Men_NSRCC-Singapore.html,162,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d21180746-Reviews-Positano_RP-Singapore.html,236,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d8571637-Reviews-Colony-Singapore.html,2286,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html,941,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d1018167-Reviews-Paulaner_Brauhaus_Singapore-Singapore.html,794,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html,626,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d13200545-Reviews-Publico_Ristorante-Singapore.html,1218,5
https://www.tripadvisor.com/Restaurant_Review-g294265-d788966-Reviews-L_Angelus-Singapore.html,198,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d5425405-Reviews-Mitsuba_Japanese_Restaurant-Singapore.html,322,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d6899709-Reviews-The_Assembly_Ground_The_Cathay-Singapore.html,204,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d7367295-Reviews-Prive_Chijmes-Singapore.html,577,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d1756372-Reviews-Brasserie_Les_Saveurs-Singapore.html,745,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d2011973-Reviews-LeVeL33-Singapore.html,2503,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d793312-Reviews-Gayatri_Restaurant-Singapore.html,356,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d795586-Reviews-Wah_Lok-Singapore.html,394,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d5980425-Reviews-Anti_dote-Singapore.html,337,4
https://www.tripadvisor.com/Restaurant_Review-g294265-d967412-Reviews-Garibaldi_Italian_Restaurant_Bar-Singapore.html,593,4
